date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:50	101608/101608	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:49%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/udunits.dat	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/udunits.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:51	83848/83848	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:50%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/TMAP-FORMATTED-DATA	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/TMAP-FORMATTED-DATA.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:52	92806/92806	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:51%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/BINARY-DATA	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/BINARY-DATA.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:53	107371/107371	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:52%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/ASCII-DATA	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/ASCII-DATA.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:54	84588/84588	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:53%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/TRICKS-TO-READING-BINARY-AND-ASCII-FILES	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/TRICKS-TO-READING-BINARY-AND-ASCII-FILES.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:55	91704/91704	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:54%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/ACCESS-TO-REMOTE-DATA-SETS-WITH-DODS	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/data-set-basics/ACCESS-TO-REMOTE-DATA-SETS-WITH-DODS.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:56	96563/96563	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:55%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:57	129892/129892	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:56%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/VARIABLES	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/VARIABLES.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:58	284089/284089	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:57%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/XPRESSIONS	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/XPRESSIONS.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
11:07:59	104262/104262	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:07:58%20GMT	https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/EMBEDDED-XPRESSIONS	/Users/osborne/Projects/pyferret/ferretdocs/documentation/ferret.pmel.noaa.gov/Ferret/documentation/users-guide/variables-xpressions/EMBEDDED-XPRESSIONS.html	(from https://ferret.pmel.noaa.gov/Ferret/documentation/ferret-documentation)
